Parti,Nombre de sièges,Nombre de voix,commune,date,election
one.brussels-sp.a,,260,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,38,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,187,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,23,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,22,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,73,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,56,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,21,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,8,Ganshoren,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,7148,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,726,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,1358,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,5006,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,339,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,611,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,168,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,217,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,2768,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,2512,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,668,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,1146,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,3908,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,149,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,410,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,569,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,36,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,382,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,64,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,35,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,121,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,152,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,38,Ixelles,2019,parlement-de-la-région-de-bruxelles-capitale
